namespace,compile_ms,percent_of_compile
seon.turn,119.156583,3.9178
seon.test.runner,111.850583,3.6776
seon.db,103.563209,3.4051
seon.render.web,102.187833,3.3599
seon.fn,91.473875,3.0076
seon.sci.eval,86.926959,2.8581
seon.config,80.774333,2.6558
seon.render.transcript,80.764500,2.6555
seon.error,78.964250,2.5963
seon.cluster,74.510958,2.4499
seon.schema,67.938417,2.2338
seon.print,67.844000,2.2307
seon.render,64.240667,2.1122
seon.plan,60.711458,1.9961
seon.test,56.511833,1.8581
seon.ai,54.202208,1.7821
seon.flow,50.015041,1.6445
seon.maintenance,47.352750,1.5569
seon.render.walk,46.137833,1.5170
seon.call-preparation,45.079041,1.4822
seon.instrument,44.911250,1.4766
seon.problems,44.347833,1.4581
seon.sci.admit,43.629750,1.4345
seon.cluster.source,42.989459,1.4135
seon.render.value,42.750625,1.4056
seon.effect,42.710292,1.4043
seon.cluster.reply,40.541708,1.3330
seon.schedule,39.684292,1.3048
seon.context,39.198792,1.2888
seon.cluster.agent,39.186625,1.2884
seon.cluster.message,38.668208,1.2714
seon.repl,38.065625,1.2516
seon.issue,37.858750,1.2448
seon.env,35.092375,1.1538
seon.render.hiccup,35.018667,1.1514
seon.cluster.prompt,34.047916,1.1195
seon.blob,33.894833,1.1144
seon.render.lint,33.657875,1.1066
seon.cluster.registry,33.505792,1.1016
seon.cluster.store,33.334458,1.0960
seon.background,31.883084,1.0483
seon.cluster.wake,31.647542,1.0405
my.edit,31.552250,1.0374
seon.note,29.890875,0.9828
seon.run,29.528334,0.9709
seon.cluster.export,29.356500,0.9652
my.fs,28.585500,0.9399
seon.render.ns,28.509500,0.9374
my.shell,28.324000,0.9313
seon.render.data,27.968875,0.9196
my.background,27.573042,0.9066
seon.cluster.instruction,25.962792,0.8536
seon.render.block,25.420792,0.8358
seon.program,24.901792,0.8188
my.web,24.528500,0.8065
seon.eval,24.064125,0.7912
seon.fs.jvm,21.787792,0.7164
seon.bootstrap,19.856875,0.6529
seon.web.jvm,18.944166,0.6229
seon.bootstrap-drive,18.543458,0.6097
seon.sci.kernel,15.872083,0.5219
my.program,15.628458,0.5139
seon.schema.edn,15.323458,0.5038
seon.fn.schema-shape,14.820917,0.4873
seon.eval.drive,14.808667,0.4869
seon.schema.datahike,14.616167,0.4806
seon.cluster.boot,13.555667,0.4457
seon.schema.admission,12.926750,0.4250
seon.oversight,12.312917,0.4048
seon.reconcile,12.175500,0.4003
seon.shell.jvm,11.169625,0.3672
seon.issue.opening,9.870917,0.3245
seon.test.accretion,9.497792,0.3123
seon.issue.detect,9.067209,0.2981
seon.agent,8.415250,0.2767
seon.test.arm,5.943958,0.1954
seon.edit.jvm,5.650458,0.1858
seon.cluster.status,5.592292,0.1839
seon.artifact,5.143250,0.1691
seon.await,4.632750,0.1523
seon.render.test,4.585958,0.1508
my.plan,3.928250,0.1292
seon.test.fast,3.699208,0.1216
seon.id,3.452750,0.1135
my.turn,3.103042,0.1020
my.message,3.003791,0.0988
my.test,2.929958,0.0963
my.note,2.638666,0.0868
my.agent,2.552584,0.0839
my.issue,2.386541,0.0785
